,manufacturer,model,fuel,transmission,drive,type,size,cylinders
130500,audi,s5 quattro,gas,automatic,4wd,pickup,full-size,8
130501,ford,explorer limited,gas,other,rwd,other,full-size,8
130503,ford,fusion s,gas,other,rwd,sedan,full-size,8
130505,chevrolet,trax,gas,automatic,fwd,wagon,full-size,4
130507,ford,f150 4x4 pickup truck,gas,automatic,4wd,pickup,compact,8
130510,jeep,cherokee trailhawk,gas,other,rwd,hatchback,full-size,8
130511,chevrolet,silverado 3500,gas,automatic,4wd,pickup,full-size,8
130514,subaru,forester limited,gas,automatic,4wd,SUV,full-size,4
130515,gmc,safari,gas,automatic,fwd,mini-van,compact,6
130526,ram,3500,diesel,manual,4wd,truck,full-size,8
130534,bmw,5 series,gas,automatic,rwd,sedan,full-size,4
130542,gmc,sierra 1500 2500 diesel,diesel,automatic,4wd,truck,full-size,8
130547,ford,f-150 xlt crewcab 4x4,gas,automatic,4wd,pickup,full-size,8
130561,ford,expedition xl xlt 4x4,gas,automatic,4wd,SUV,full-size,8
130567,toyota,yaris ia sedan,gas,automatic,fwd,sedan,sub-compact,4
130568,dodge,dart limited,gas,automatic,fwd,sedan,full-size,4
130569,subaru,legacy 2.5i limited awd,gas,automatic,4wd,sedan,mid-size,4
130570,toyota,tundra double cab,gas,automatic,4wd,offroad,full-size,8
130578,bmw,5 series,gas,manual,rwd,other,mid-size,6
130597,gmc,Alpha Romeo,gas,automatic,rwd,SUV,mid-size,8
130603,chevrolet,express 3500 cargo,gas,automatic,rwd,van,full-size,8
130608,cadillac,srx 4,gas,automatic,4wd,sedan,full-size,6
130611,subaru,impreza wagon,gas,automatic,fwd,wagon,full-size,4
130614,dodge,avenger r/t,gas,automatic,fwd,sedan,full-size,4
130620,chevrolet,impala lt,gas,automatic,fwd,sedan,full-size,8
130625,kia,spectra,gas,manual,fwd,sedan,mid-size,4
130654,gmc,suzuki grand vitara,gas,automatic,4wd,SUV,mid-size,6
130758,audi,a4 avant 1.8t,gas,automatic,4wd,wagon,full-size,4
130765,gmc,1982,gas,manual,rwd,truck,full-size,6
130769,subaru,impreza 2.5i,gas,automatic,4wd,SUV,full-size,4
130784,saturn,sl1,gas,automatic,fwd,pickup,full-size,4
130793,subaru,crosstrek 5dr 2.0i cvt,gas,automatic,rwd,hatchback,full-size,8
130814,infiniti,fx35,gas,automatic,4wd,wagon,compact,6
130826,chrysler,200 lx,gas,automatic,rwd,sedan,full-size,8
130828,jeep,renegade trailhawk,gas,automatic,rwd,hatchback,full-size,8
130830,toyota,rav4 xle,gas,automatic,rwd,hatchback,full-size,8
130853,chevrolet,pickup,gas,automatic,4wd,pickup,full-size,8
130864,toyota,tacoma sr,gas,other,rwd,pickup,full-size,8
130866,chevrolet,silverado trail boss,gas,automatic,4wd,truck,full-size,8
130868,gmc,Jayco Jay Feather,gas,automatic,rwd,pickup,full-size,8
130876,chevrolet,s10,gas,automatic,4wd,pickup,full-size,8
130888,toyota,camry le,gas,automatic,rwd,sedan,full-size,8
130892,toyota,paseo,gas,manual,fwd,coupe,sub-compact,4
130893,toyota,4runner sr5 premium,gas,automatic,rwd,hatchback,full-size,8
130896,chevrolet,tahoe lt,other,other,rwd,hatchback,full-size,8
130907,ford,f450 super duty,gas,automatic,4wd,pickup,full-size,10
130908,ram,charger,gas,automatic,4wd,SUV,full-size,8
130910,subaru,legacy wagon outback 2.5i,gas,other,rwd,wagon,full-size,8
130911,toyota,4runner sr5 premium,gas,other,rwd,hatchback,full-size,8
130912,chrysler,sebring conv touring,gas,other,rwd,other,full-size,8
130922,toyota,tundra limited trd 4x4,gas,automatic,4wd,pickup,full-size,8
130924,gmc,doge grand caravan,gas,automatic,fwd,van,full-size,6
130928,chevrolet,traverse lt awd,gas,automatic,4wd,pickup,full-size,6
130943,nissan,pickup,gas,manual,4wd,pickup,mid-size,8
130953,chevrolet,duramax,diesel,automatic,4wd,pickup,full-size,8
130961,chevrolet,silvarado,gas,automatic,4wd,pickup,full-size,8
130971,jeep,wrangler rubicon hard rock,gas,automatic,4wd,SUV,full-size,6
130976,gmc,geo prizm,gas,manual,fwd,sedan,mid-size,4
130984,ford,taurus sel sport sedan 4d,gas,automatic,fwd,sedan,full-size,6
130985,gmc,yukon xl denali awd,gas,automatic,4wd,SUV,full-size,8
130988,hyundai,sonata hybrid limited,gas,automatic,fwd,sedan,mid-size,4
130999,dodge,ram5500,diesel,automatic,4wd,truck,full-size,8
131002,dodge,5500hd,diesel,automatic,4wd,truck,full-size,8
131006,toyota,tacoma trd off road,gas,automatic,4wd,truck,full-size,8
131013,jeep,renegade,gas,automatic,fwd,pickup,full-size,4
131017,mercedes-benz,benz ml350,gas,automatic,4wd,pickup,full-size,8
131028,honda,accord crosstour,gas,automatic,4wd,hatchback,full-size,6
131042,chevrolet,s10 blazer 4x4,gas,automatic,4wd,SUV,full-size,6
131046,dodge,w150 club cab 4x4,gas,automatic,4wd,pickup,full-size,8
131066,dodge,mirada,gas,automatic,rwd,coupe,mid-size,6
131067,gmc,sierra 3500hd denali,diesel,automatic,4wd,pickup,full-size,8
131072,chevrolet,traverse lt,gas,automatic,4wd,pickup,full-size,6
131086,chevrolet,s10 blazer ls,gas,automatic,4wd,SUV,mid-size,6
131088,gmc,2500 hd 4x4,gas,automatic,4wd,truck,full-size,8
131154,gmc,thomas school bus,diesel,automatic,rwd,bus,full-size,8
131163,ford,fusion se ecoboost,gas,automatic,fwd,sedan,full-size,4
131165,mercedes-benz,gl 450,gas,automatic,4wd,SUV,mid-size,6
131173,ford,f250 super duty,diesel,manual,rwd,pickup,full-size,8
131176,chevrolet,cruze lt,gas,automatic,fwd,coupe,full-size,4
131200,gmc,oldsmobile alero,gas,automatic,rwd,sedan,full-size,8
131221,dodge,sprinter,diesel,automatic,rwd,pickup,full-size,5
131269,gmc,2006 F650,diesel,automatic,rwd,pickup,full-size,6
131280,gmc,chysler pt cruiser,gas,automatic,fwd,wagon,mid-size,4
131287,pontiac,montana,gas,automatic,fwd,mini-van,full-size,6
131332,ford,fiesta se,gas,manual,fwd,pickup,compact,4
131336,jeep,cherokee altitude sport,gas,automatic,rwd,SUV,full-size,8
131372,ram,1500 crew,gas,automatic,4wd,truck,full-size,8
131390,gmc,tc75,other,other,rwd,pickup,full-size,8
131397,mercedes-benz,gla 250 4matic,gas,automatic,4wd,sedan,mid-size,4
131403,ram,2500 outdoorsman,gas,automatic,4wd,SUV,full-size,8
131406,ford,ecosport,gas,automatic,4wd,SUV,full-size,8
131414,chrysler,pacifica limited,gas,automatic,fwd,mini-van,full-size,6
131423,gmc,sierra 3500hd slt,diesel,other,rwd,pickup,full-size,8
131425,dodge,grand caravan sxt,other,other,rwd,hatchback,full-size,8
131430,ford,f-150 xlt,gas,other,rwd,pickup,full-size,8
131434,honda,civic coupe si,gas,other,rwd,coupe,full-size,8
131438,gmc,yukon xl slt,gas,other,rwd,hatchback,full-size,8
131439,buick,encore,gas,other,rwd,other,full-size,8
131445,ford,explorer st,gas,automatic,rwd,pickup,full-size,8
131456,ram,2500 mega cab,diesel,automatic,4wd,truck,full-size,6
131459,gmc,saab 9-5,gas,automatic,fwd,coupe,mid-size,4
131471,chrysler,concord lxi,gas,automatic,fwd,sedan,full-size,6
131487,ford,f150 super cab,gas,automatic,4wd,truck,full-size,6
131530,infiniti,g35x awd,gas,automatic,4wd,pickup,full-size,6
131550,ram,laramie slt 1500,gas,automatic,4wd,truck,full-size,8
131566,audi,sq5 3.0t premium plus,gas,automatic,4wd,SUV,full-size,6
131572,gmc,caballero,gas,automatic,rwd,pickup,mid-size,6
131574,jeep,grand cherokee laredo 4x4,gas,automatic,4wd,pickup,full-size,6
131577,honda,pilot ex-l,gas,automatic,4wd,pickup,full-size,6
131579,nissan,rogue awd,gas,automatic,4wd,pickup,full-size,4
131580,nissan,pathfinder se,gas,automatic,4wd,pickup,full-size,6
131582,honda,civic es,gas,automatic,fwd,pickup,full-size,4
131583,chevrolet,camaro ls,gas,automatic,rwd,pickup,full-size,6
131585,volkswagen,golf gti s hatchback,gas,automatic,fwd,pickup,full-size,4
131586,chevrolet,volt,gas,manual,fwd,pickup,full-size,4
131588,honda,accord,gas,manual,fwd,pickup,full-size,4
131603,gmc,NISSA VERSA NOTE,gas,automatic,fwd,sedan,mid-size,4
131616,ford,f250 extra cab 4x4 diesel,diesel,automatic,4wd,pickup,full-size,8
131620,ford,f350 diesels powerstroke,diesel,manual,4wd,pickup,full-size,8
131630,gmc,2012 Suzuki SX4,gas,automatic,4wd,hatchback,compact,4
131635,bmw,335i x-drive,gas,automatic,4wd,sedan,compact,6
131642,ford,f150 limited,gas,automatic,4wd,truck,full-size,6
131664,jeep,grand cherokee laredo,gas,automatic,4wd,offroad,mid-size,8
131679,ford,focus titanium,gas,automatic,fwd,coupe,compact,4
131681,cadillac,xt4,gas,automatic,4wd,SUV,full-size,4
131683,honda,passport,gas,automatic,rwd,SUV,mid-size,6
131684,jeep,renegade,gas,automatic,4wd,pickup,full-size,4
131692,volkswagen,jetta hybrid sel,hybrid,automatic,fwd,pickup,full-size,4
131695,hyundai,elantra limited,gas,automatic,fwd,pickup,full-size,4
131697,ford,edge,gas,automatic,fwd,pickup,full-size,6
131702,bmw,3 series 328xi,gas,automatic,4wd,sedan,full-size,6
131709,toyota,tacoma 4x4,gas,automatic,4wd,pickup,mid-size,4
131721,chevrolet,avalanche,gas,automatic,rwd,pickup,full-size,5
131745,ford,transit awd,gas,automatic,4wd,van,full-size,6
131747,ford,f-350 super duty,other,automatic,4wd,truck,full-size,8
131750,ford,f-150,gas,automatic,4wd,other,full-size,6
131761,ford,parklane,gas,automatic,rwd,wagon,full-size,8
131772,subaru,outback premium,gas,automatic,4wd,wagon,mid-size,4
131780,honda,pilot ex-1,gas,automatic,4wd,pickup,full-size,6
131782,mitsubishi,lancer es sport,gas,automatic,fwd,pickup,full-size,4
131801,mitsubishi,delica l400,diesel,automatic,4wd,mini-van,full-size,4
131802,chevrolet,corvette frc,gas,manual,rwd,coupe,full-size,8
131807,mazda,mazda2,gas,automatic,fwd,hatchback,compact,4
131814,jeep,renegade trailhawk 4x4,gas,automatic,4wd,SUV,full-size,4
131820,subaru,outback 2.5i premium awd,gas,automatic,4wd,wagon,mid-size,4
131827,chevrolet,g20 van,gas,automatic,rwd,van,full-size,8
131828,ford,f350 diesel dualy,diesel,automatic,4wd,truck,full-size,8
131830,subaru,outback legacy limited,gas,automatic,4wd,SUV,mid-size,4
131901,toyota,4runner sr5,gas,automatic,4wd,pickup,full-size,6
131908,honda,cr-v ex-l,gas,automatic,4wd,SUV,mid-size,8
131911,volkswagen,golf gti,gas,manual,fwd,pickup,full-size,4
131912,volkswagen,passat 1.8t,gas,automatic,fwd,pickup,full-size,4
131913,volkswagen,sandrail,gas,manual,rwd,offroad,full-size,4
131914,gmc,sierra 3500 crewcab denalli,diesel,automatic,4wd,truck,full-size,8
131917,chevrolet,tahoe ltz 4x4 5.3l,gas,automatic,4wd,SUV,full-size,8
131946,subaru,impreza,gas,automatic,4wd,coupe,compact,4
131967,ford,edge sport awd,gas,automatic,4wd,SUV,mid-size,6
131970,chevrolet,colorado zr2,gas,automatic,4wd,truck,full-size,6
131988,gmc,any,gas,automatic,rwd,pickup,full-size,8
131998,ford,f350 4x4,gas,automatic,4wd,pickup,full-size,8
132004,volkswagen,beetle,gas,manual,fwd,hatchback,compact,4
132032,ford,victoria,gas,manual,rwd,pickup,mid-size,8
132039,lincoln,mark iii,gas,automatic,rwd,coupe,full-size,8
132041,ford,focus se,gas,manual,fwd,pickup,full-size,3
132052,jeep,grand cherokee ltd.,gas,automatic,4wd,SUV,full-size,8
132068,mini,cooper,gas,automatic,rwd,coupe,compact,4
132097,honda,fit ex hatchback,gas,automatic,fwd,hatchback,compact,4
132098,subaru,impreza sport wagon awd,gas,automatic,4wd,wagon,sub-compact,4
132100,subaru,forester 2.5x awd,gas,automatic,4wd,wagon,mid-size,4
132101,subaru,forester x premium awd,gas,automatic,4wd,SUV,mid-size,4
132128,gmc,isuzu trooper,gas,automatic,rwd,SUV,full-size,8
132129,ford,e350 12' box van,gas,automatic,rwd,other,full-size,8
132136,chevrolet,suburban 2500 4x4,gas,automatic,4wd,truck,full-size,8
132151,mercedes-benz,sprinter 2500,diesel,automatic,rwd,van,full-size,8
132157,mini,cooper,gas,manual,fwd,mini-van,compact,4
132186,gmc,2004 Peterbilt,diesel,manual,rwd,pickup,full-size,8
132201,jeep,gladiator,gas,manual,4wd,pickup,compact,6
132234,chevrolet,crew cab 4500,gas,automatic,rwd,truck,full-size,8
132245,chevrolet,c10 truck,diesel,automatic,4wd,pickup,full-size,6
132277,toyota,camry ce,gas,automatic,rwd,sedan,full-size,4
132287,jeep,patriot,gas,automatic,4wd,pickup,full-size,4
132298,dodge,dart gt,gas,automatic,fwd,sedan,mid-size,4
132322,honda,crv,gas,manual,fwd,SUV,compact,4
132339,ford,econoline e-150,gas,automatic,rwd,van,full-size,8
132371,chevrolet,cobalt l,gas,automatic,fwd,sedan,mid-size,4
132374,toyota,prius prius ii,hybrid,automatic,fwd,hatchback,compact,4
132376,mercedes-benz,benz g55 amg,gas,automatic,4wd,SUV,full-size,8
132396,ford,ecosport,gas,automatic,4wd,SUV,full-size,4
132410,mercedes-benz,e-300,gas,automatic,4wd,sedan,mid-size,4
132415,toyota,yaris sedan le,gas,automatic,fwd,sedan,full-size,4
132421,audi,a3 2.0t,gas,automatic,fwd,hatchback,mid-size,4
132445,subaru,wrx,gas,manual,rwd,sedan,full-size,8
132454,porsche,911 carrera 4s,gas,manual,rwd,coupe,full-size,6
132459,ford,f-350 lariat fx4,diesel,automatic,4wd,truck,full-size,8
132461,ford,mustang fastback,gas,automatic,rwd,coupe,full-size,6
132462,nissan,versa s,gas,automatic,fwd,pickup,full-size,4
132467,volvo,vnl 670,diesel,manual,rwd,pickup,full-size,0
132470,chevrolet,cobalt ls sedan,gas,automatic,fwd,sedan,compact,4
132471,ford,f-150 long bed,gas,automatic,rwd,pickup,full-size,8
132473,volvo,v50 2.4i,gas,automatic,fwd,hatchback,mid-size,5
132480,dodge,dakota,gas,automatic,4wd,pickup,full-size,6
132497,ford,explorer tract,gas,automatic,4wd,truck,compact,4
132514,volkswagen,beetle,gas,manual,rwd,coupe,compact,8
132520,porsche,boxster,gas,other,rwd,convertible,mid-size,4
132528,audi,s4,gas,automatic,4wd,sedan,compact,8
132561,gmc,2008 Sebring Convertible,gas,automatic,fwd,pickup,full-size,6
132579,gmc,Kenworth W900,diesel,manual,rwd,truck,full-size,6
132582,gmc,Peterbilt 379,diesel,manual,rwd,truck,full-size,6
132585,ram,1500 eco diesel,diesel,automatic,4wd,truck,full-size,6
132589,gmc,International4300 Crew Cab,diesel,manual,rwd,truck,full-size,8
132592,subaru,impreza,gas,automatic,fwd,hatchback,compact,4
132597,mercedes-benz,s63,gas,automatic,4wd,pickup,full-size,8
132600,ford,f150 xl reg cab,gas,automatic,rwd,pickup,full-size,8
132601,gmc,Freightliner Unimog OM352,diesel,manual,4wd,truck,full-size,6
132604,ford,fusion s,gas,automatic,fwd,pickup,full-size,4
132636,subaru,legacy 2.5i premium awd,gas,manual,4wd,sedan,mid-size,4
132646,subaru,forester 2.5x premium awd,gas,automatic,4wd,SUV,mid-size,4
132650,lexus,rx 330 awd,gas,automatic,4wd,SUV,mid-size,6
132651,nissan,xterra xe 4wd,gas,automatic,4wd,SUV,mid-size,6
132668,chevrolet,silverado 1500 ls,gas,automatic,4wd,pickup,full-size,8
132672,nissan,versa sl,gas,manual,fwd,pickup,full-size,8
132679,chevrolet,silverado 1500 lt1,gas,automatic,rwd,pickup,full-size,8
132685,ford,econoine 250 van,gas,automatic,rwd,van,full-size,8
132692,chevrolet,city express,gas,automatic,rwd,pickup,full-size,8
132706,jeep,patriot sport,gas,manual,fwd,SUV,compact,4
132709,jeep,cherokee latitude plus,gas,automatic,4wd,SUV,full-size,8
132744,gmc,F250/F350,other,other,rwd,pickup,full-size,8
132774,gmc,Cheverolet Silverado 2500HD LT,diesel,automatic,4wd,truck,full-size,8
132783,lincoln,mk 5,gas,automatic,rwd,coupe,full-size,8
132789,mercedes-benz,benz c250 luxury,gas,automatic,rwd,pickup,full-size,4
132793,honda,crz,hybrid,automatic,fwd,sedan,mid-size,4
132800,dodge,caravan minivan,gas,automatic,fwd,mini-van,full-size,4
132806,mazda,protege5,gas,other,fwd,hatchback,compact,4
132807,gmc,suzuki grand vitara,gas,automatic,rwd,SUV,full-size,8
132829,mitsubishi,lancer oz rally,gas,manual,fwd,sedan,compact,4
132830,nissan,armada se 4x4,gas,automatic,4wd,pickup,full-size,8
132838,toyota,4runner sr5,gas,automatic,rwd,hatchback,full-size,8
132840,bmw,3 series 335i,gas,other,rwd,sedan,full-size,8
132841,mercedes-benz,glc 300,gas,automatic,rwd,hatchback,full-size,8
132845,chevrolet,tahoe lt,gas,automatic,rwd,hatchback,full-size,8
132846,honda,cr-z,hybrid,manual,fwd,coupe,compact,4
132847,nissan,altima 2.5 sl,gas,automatic,rwd,sedan,full-size,8
132850,ford,fusion hybrid,hybrid,automatic,rwd,pickup,full-size,8
132856,chevrolet,suburban lt,other,automatic,rwd,hatchback,full-size,8
132857,ford,focus titanium,gas,automatic,fwd,hatchback,full-size,4
132871,chevrolet,tahoe,gas,automatic,4wd,SUV,full-size,6
132880,gmc,95 Grand Cherokee Laredo,gas,automatic,4wd,SUV,full-size,6
132883,ford,mustang,gas,manual,fwd,coupe,full-size,4
132888,chevrolet,uplander ls,gas,automatic,fwd,SUV,full-size,6
132899,chevrolet,colorado z71,diesel,automatic,rwd,truck,full-size,4
132932,ford,focus se,gas,manual,fwd,coupe,compact,4
132939,gmc,peterbilt 379,diesel,manual,rwd,pickup,full-size,8
132976,gmc,SUBABRU OUTBACK,gas,automatic,4wd,hatchback,mid-size,4
132992,subaru,impreza wrx,gas,manual,rwd,hatchback,full-size,8
133008,subaru,forester,gas,automatic,rwd,SUV,full-size,8
133041,kia,sportage,gas,manual,4wd,SUV,mid-size,4
133043,gmc,suzuki grand vitara xl-7,gas,automatic,rwd,SUV,full-size,8
133046,chevrolet,camaro ss,gas,automatic,4wd,convertible,full-size,8
133048,lexus,is350 f sport,gas,automatic,4wd,sedan,mid-size,6
133051,alfa-romeo,romeo stelvio ti,gas,automatic,4wd,SUV,mid-size,4
133094,dodge,durango slt 4x4,gas,automatic,4wd,offroad,full-size,8
133099,honda,cr-v ex-l,gas,automatic,rwd,hatchback,full-size,8
133104,honda,cr-v ex,gas,automatic,rwd,hatchback,full-size,8
133106,toyota,highlander le plus,gas,automatic,rwd,hatchback,full-size,8
133110,kia,telluride sx v6 awd,gas,automatic,4wd,SUV,full-size,6
133112,ford,escape s,gas,automatic,rwd,hatchback,full-size,8
133114,gmc,smart car,gas,manual,fwd,coupe,mid-size,4
133116,audi,a3,gas,automatic,4wd,wagon,full-size,8
133117,kia,soul +,gas,automatic,rwd,hatchback,full-size,8
133118,audi,q7 prestige,gas,automatic,rwd,hatchback,full-size,8
133130,ford,f550 utility bucket truck,diesel,automatic,4wd,truck,full-size,8
133149,toyota,corolla s plus,gas,manual,fwd,sedan,full-size,4
133160,ford,excursion 7.3 limited,diesel,automatic,4wd,truck,full-size,8
133162,toyota,4runner limited,gas,automatic,rwd,hatchback,full-size,8
133169,ford,f150xlt 4x4,gas,automatic,4wd,sedan,full-size,8
133176,hyundai,sante fe,gas,manual,rwd,SUV,full-size,8
133184,chevrolet,colorado zr2,gas,automatic,4wd,pickup,full-size,6
133242,jeep,wrangler tj,gas,manual,4wd,SUV,full-size,4
133246,ford,edge sel 2.7l,gas,automatic,4wd,SUV,compact,6
133275,mini,cooper clubman jcw,gas,manual,fwd,wagon,sub-compact,4
133312,nissan,versa note,gas,manual,fwd,hatchback,compact,4
133331,chevrolet,blazer 4x4,gas,automatic,4wd,SUV,full-size,6
133335,gmc,safari van,gas,automatic,rwd,van,mid-size,6
133340,ram,1500 5.7 hemi,gas,automatic,4wd,truck,full-size,8
133350,volkswagen,beetle,diesel,manual,fwd,coupe,compact,4
133358,mazda,protege,gas,manual,rwd,other,full-size,8
133360,toyota,highlander limited platin,gas,automatic,4wd,SUV,full-size,6
133368,ram,1500 big horn,diesel,automatic,4wd,pickup,full-size,6
133434,ram,1500 tradesman,gas,automatic,4wd,truck,full-size,8
133436,ram,1500 outdoorsman,gas,other,4wd,truck,full-size,8
133437,toyota,sienna se,gas,automatic,fwd,mini-van,mid-size,8
133438,toyota,highlander awd,gas,automatic,rwd,SUV,mid-size,8
133439,gmc,sierra 2500hd denali,diesel,other,rwd,pickup,full-size,8
133440,ram,1500 laramie longhorn,gas,automatic,4wd,truck,full-size,8
133441,toyota,4runner sr5,diesel,automatic,4wd,pickup,full-size,6
133447,gmc,sierra 2500hd available wifi,diesel,other,rwd,pickup,full-size,8
133450,gmc,acadia sle,gas,other,rwd,other,full-size,8
133457,cadillac,srx performance,gas,other,rwd,other,full-size,6
133458,chevrolet,traverse lt leather,gas,other,rwd,other,full-size,6
133459,subaru,outback limited,gas,other,rwd,other,full-size,8
133460,gmc,sierra 1500 slt,gas,other,rwd,pickup,full-size,8
133461,ford,f-150 platinum,other,other,rwd,pickup,full-size,8
133462,cadillac,xt5 platinum,gas,other,rwd,other,full-size,6
133463,honda,pilot touring 7-passenger,gas,other,rwd,other,full-size,6
133464,gmc,sierra 1500 slt,other,other,rwd,pickup,full-size,8
133465,gmc,canyon 4wd sle,gas,other,4wd,pickup,full-size,6
133467,jeep,cherokee trailhawk,gas,other,rwd,other,full-size,6
133472,audi,a4 2.0t premium plus,gas,automatic,4wd,wagon,mid-size,4
133478,gmc,terrain sle,gas,automatic,rwd,SUV,mid-size,8
133480,jeep,patriot high altitude,gas,automatic,4wd,SUV,mid-size,8
133515,mercedes-benz,benz gla250,gas,automatic,4wd,pickup,full-size,8
133516,cadillac,cts,gas,automatic,4wd,pickup,full-size,8
133518,jeep,renegade trailhawk,gas,other,rwd,other,full-size,8
133519,gmc,sierra 1500 denali,diesel,other,rwd,pickup,full-size,8
133524,chevrolet,silverado 1500 custom,gas,other,rwd,pickup,full-size,8
133526,mazda,cx-9,gas,automatic,rwd,SUV,full-size,4
133529,gmc,acadia denali,gas,other,rwd,other,full-size,6
133530,chevrolet,colorado 4wd zr2,gas,other,4wd,pickup,full-size,6
133532,hyundai,veloster 3dr coupe dct,gas,automatic,fwd,hatchback,compact,4
133533,audi,s6 awd 5.2 quattro,gas,automatic,4wd,sedan,mid-size,10
133535,ford,f-150 lariat,gas,other,rwd,pickup,full-size,6
133536,cadillac,escalade esv premium,gas,other,rwd,other,full-size,8
133543,ford,flex limited awd,gas,automatic,4wd,SUV,full-size,6
133557,ford,f-150 lariat,other,other,rwd,pickup,full-size,8
133561,honda,accord,gas,manual,fwd,sedan,full-size,6
133600,gmc,FOED EDGE,gas,automatic,4wd,SUV,mid-size,4
133607,chevrolet,avalanche 4x4 lt,gas,automatic,4wd,truck,full-size,8
133614,buick,envision premium ii,gas,other,rwd,other,full-size,8
133621,gmc,2500,gas,automatic,rwd,truck,full-size,8
133625,ram,2500 diesel,diesel,automatic,4wd,pickup,full-size,6
133626,chevrolet,trailblazer ext ls,gas,automatic,4wd,SUV,mid-size,6
133631,ram,truck 1500,gas,automatic,4wd,pickup,full-size,8
133633,chrysler,cirrus,gas,automatic,rwd,pickup,full-size,8
133636,gmc,oldsmobile bravada,gas,automatic,4wd,SUV,mid-size,6
133637,ford,taurus gl,gas,automatic,fwd,sedan,full-size,6
133638,pontiac,grand prix gt,gas,automatic,fwd,pickup,full-size,6
133647,toyota,tundra 4wd truck sr,gas,other,4wd,pickup,full-size,8
133649,chevrolet,colorado 4wd z71,gas,other,4wd,pickup,full-size,6
133651,dodge,da coupe,gas,manual,rwd,coupe,full-size,6
133656,gmc,acadia awd slt-2,gas,automatic,4wd,SUV,mid-size,6
133658,subaru,legacy awd gt,gas,manual,4wd,sedan,mid-size,4
133659,porsche,cayenne awd turbo,gas,automatic,4wd,SUV,mid-size,8
133660,jeep,wrangler unlimited rubicon,gas,manual,4wd,SUV,mid-size,6
133662,gmc,1977 International,diesel,manual,rwd,truck,full-size,10
133666,dodge,journey awd sxt,gas,automatic,4wd,SUV,mid-size,6
133675,dodge,durango gt,gas,other,rwd,other,full-size,6
133676,gmc,yukon xl denali,gas,other,rwd,SUV,full-size,8
133677,toyota,tacoma 4wd trd offroad,gas,other,4wd,offroad,full-size,6
133678,cadillac,xt4 awd premium luxury,gas,other,rwd,other,full-size,8
133679,gmc,canyon 4wd slt,gas,other,4wd,pickup,full-size,8
133680,ram,1500 big horn,gas,other,rwd,pickup,full-size,8
133703,ford,focus zx4 s,gas,automatic,fwd,sedan,compact,4
133704,bmw,x5 xdrive35i sports activity,gas,other,rwd,other,full-size,8
133705,ram,2500 slt,diesel,automatic,4wd,pickup,full-size,6
133706,chevrolet,cruze lt rs,gas,automatic,fwd,sedan,mid-size,4
133708,subaru,outback 2.5i premium,gas,automatic,fwd,SUV,mid-size,4
133710,gmc,yukon denali,gas,other,rwd,other,full-size,8
133711,gmc,yukon xl denali,gas,other,rwd,other,full-size,8
133712,buick,lacrosse premium,gas,automatic,fwd,sedan,mid-size,8
133713,mini,cooper clubman s,gas,manual,fwd,coupe,compact,4
133714,lincoln,nautilus reserve,gas,other,rwd,other,full-size,8
133715,ford,f-150 fx4,gas,other,rwd,pickup,full-size,6
133716,gmc,sierra 1500 denali,gas,other,rwd,pickup,full-size,8
133717,ford,explorer sport,gas,other,rwd,other,full-size,6
133718,gmc,yukon xl slt,gas,other,rwd,other,full-size,8
133737,acura,tsx,gas,automatic,fwd,sedan,mid-size,6
133739,toyota,4runner trd off road,gas,other,rwd,other,full-size,6
133741,chevrolet,colorado 4wd z71,gas,other,4wd,pickup,full-size,8
133742,gmc,acadia slt,gas,other,rwd,other,full-size,6
133755,gmc,Oldsmobile 88,gas,automatic,rwd,sedan,full-size,8
133794,ram,1500 longhorn,gas,automatic,4wd,pickup,full-size,8
133798,gmc,sierra 2500hd denali,other,other,rwd,pickup,full-size,8
133800,cadillac,ct6 luxury awd,gas,other,rwd,sedan,full-size,6
133801,chevrolet,impala lt,other,other,rwd,sedan,full-size,6
133802,ram,1500 express,gas,automatic,4wd,truck,full-size,8
133803,mazda,cx-7,gas,automatic,4wd,SUV,mid-size,4
133804,gmc,sierra 2500hd slt,other,other,rwd,pickup,full-size,8
133808,dodge,dokota,gas,automatic,4wd,pickup,mid-size,8
133828,gmc,acadia,gas,automatic,4wd,SUV,full-size,8
133848,chevrolet,tahoe lt 4wd,gas,automatic,4wd,SUV,full-size,8
133856,chevrolet,silverado 3500hd 4x4,gas,automatic,4wd,truck,full-size,8
133861,ford,flex sel awd,gas,automatic,4wd,SUV,mid-size,6
133866,ford,f-150 xlt 4x4,gas,automatic,4wd,truck,full-size,6
133868,gmc,terrain sle-2 awd,gas,automatic,4wd,SUV,mid-size,6
133869,honda,odyssey ex-l w/dvd w/navi,gas,automatic,fwd,van,mid-size,6
133871,mitsubishi,outlander sel 4wd,gas,automatic,4wd,SUV,mid-size,4
133898,ram,1500 laramie,gas,other,rwd,pickup,full-size,8
133901,ram,2500 laramie,gas,other,rwd,pickup,full-size,8
133902,gmc,sierra 1500 sle,other,other,rwd,pickup,full-size,8
133903,chevrolet,trax lt,gas,other,rwd,other,full-size,8
133906,chevrolet,equinox lt,gas,other,rwd,other,full-size,8
133908,gmc,Plymouth Woodie Wagon,gas,automatic,rwd,wagon,full-size,8
133909,kia,soul + hatchback,gas,automatic,fwd,hatchback,full-size,4
133911,chevrolet,3500hd double cab duramax,diesel,automatic,4wd,truck,full-size,8
