,manufacturer,model,fuel,transmission,drive,type,size,cylinders
237,chevrolet,malibu,gas,automatic,rwd,pickup,full-size,8
239,chevrolet,silverado 1500,gas,automatic,4wd,truck,full-size,8
240,chevrolet,monte carlo,gas,automatic,rwd,pickup,full-size,8
241,jeep,grand cherokee laredo,gas,automatic,4wd,pickup,full-size,6
244,chevrolet,silverado 2500hd 4x4,diesel,automatic,4wd,truck,full-size,8
245,mercedes-benz,1929 ssk replica,gas,automatic,rwd,convertible,mid-size,4
246,chevrolet,tahoe,gas,automatic,4wd,offroad,full-size,8
252,chevrolet,corvette convertible,gas,other,rwd,other,full-size,8
255,gmc,SPECIAL FINANCE PROGRAM 2020,other,other,rwd,bus,full-size,0
256,volkswagen,passat tdi,diesel,automatic,rwd,pickup,full-size,8
259,mercedes-benz,clk320,gas,automatic,rwd,convertible,full-size,6
260,chevrolet,silverado,gas,automatic,4wd,truck,full-size,8
262,ford,taurus,gas,automatic,fwd,pickup,full-size,8
264,gmc,1987 Saab 900 Turbo,gas,manual,fwd,coupe,mid-size,4
267,honda,accord ex-l,gas,manual,rwd,pickup,full-size,4
268,mazda,miata mx-5,gas,automatic,rwd,convertible,compact,4
270,chevrolet,corvette,gas,manual,rwd,hatchback,mid-size,8
271,chevrolet,bel air,gas,automatic,rwd,sedan,full-size,8
277,jeep,wrangler sport s utility 2d,gas,other,4wd,other,full-size,6
279,honda,odyssey ex,gas,automatic,rwd,van,full-size,8
290,kia,forte koup ex coupe 2d,gas,other,fwd,coupe,full-size,8
296,nissan,murano,gas,automatic,rwd,pickup,full-size,6
301,subaru,legacy 2.5i premium sedan,gas,other,rwd,sedan,full-size,8
320,ford,mustang gt premium coupe 2d,gas,other,rwd,coupe,full-size,8
321,honda,pilot lx sport utility 4d,gas,other,rwd,other,full-size,6
322,buick,regal sportback preferred,gas,other,fwd,sedan,full-size,8
323,hyundai,sonata plug-in hybrid,hybrid,manual,fwd,sedan,full-size,8
329,ram,3500,diesel,manual,4wd,truck,full-size,6
332,toyota,tacoma 4x4,gas,automatic,4wd,truck,mid-size,6
337,ford,f-150,gas,automatic,fwd,truck,full-size,6
338,mercedes-benz,benz,gas,automatic,rwd,coupe,full-size,6
339,toyota,tundra,gas,automatic,4wd,truck,full-size,8
342,chevrolet,impala,gas,automatic,fwd,sedan,mid-size,4
343,nissan,altima 3.5 sl,gas,automatic,fwd,sedan,mid-size,6
351,ford,f250 super duty,gas,automatic,4wd,truck,full-size,8
354,acura,mdx,gas,automatic,rwd,SUV,full-size,6
355,mercedes-benz,benz c350,gas,automatic,rwd,sedan,full-size,6
357,nissan,pathfinder,gas,automatic,fwd,SUV,mid-size,6
362,chevrolet,silverado 2500 z71 4x4,diesel,automatic,4wd,truck,full-size,8
363,ram,3500 laramie 4x4,diesel,automatic,4wd,truck,full-size,6
364,lexus,rx350,gas,automatic,fwd,SUV,mid-size,6
365,chevrolet,tahoe,gas,automatic,4wd,SUV,full-size,8
366,audi,q7,gas,automatic,4wd,SUV,full-size,6
367,chevrolet,trax,gas,automatic,4wd,SUV,full-size,4
370,mitsubishi,eclipse,gas,manual,fwd,hatchback,compact,4
373,toyota,prius,hybrid,automatic,fwd,wagon,mid-size,4
374,gmc,scion ia,gas,automatic,fwd,sedan,compact,4
376,nissan,370z nismo coupe 2d,gas,other,rwd,coupe,full-size,6
379,toyota,camry,gas,automatic,fwd,sedan,full-size,4
381,toyota,camry,hybrid,automatic,fwd,sedan,mid-size,4
382,infiniti,q50,gas,automatic,rwd,sedan,full-size,6
383,nissan,altima,gas,automatic,fwd,sedan,full-size,4
391,dodge,challenger r/t scat pack,other,other,rwd,coupe,full-size,8
392,ram,1500 quad cab big horn,other,other,4wd,pickup,full-size,6
394,volkswagen,passat tdi sel,diesel,automatic,rwd,pickup,full-size,8
395,ford,explorer xlt,gas,automatic,rwd,pickup,full-size,8
397,volkswagen,jetta tdi,diesel,automatic,rwd,pickup,full-size,8
403,toyota,4runner sr5 sport utility,gas,other,4wd,other,full-size,6
404,nissan,frontier king cab sv,gas,other,fwd,pickup,full-size,8
405,subaru,xv crosstrek premium,gas,other,rwd,hatchback,full-size,8
407,buick,regal premium ii sedan 4d,gas,other,fwd,sedan,full-size,8
408,toyota,camry l sedan 4d,other,other,rwd,sedan,full-size,8
409,dodge,charger,gas,automatic,rwd,sedan,full-size,6
410,toyota,solara,gas,automatic,fwd,sedan,full-size,4
413,chevrolet,tahoe,gas,automatic,rwd,SUV,full-size,8
415,infiniti,ex35,gas,automatic,rwd,wagon,full-size,6
416,toyota,prius v hybrid,gas,automatic,fwd,hatchback,mid-size,4
417,nissan,rogue sv,gas,automatic,fwd,SUV,full-size,4
419,chevrolet,trailblazer,gas,automatic,rwd,SUV,full-size,6
426,subaru,baja,gas,automatic,4wd,pickup,full-size,4
428,dodge,charger,gas,automatic,rwd,sedan,full-size,8
431,nissan,titan xd,gas,automatic,4wd,truck,full-size,8
432,volkswagen,jetta,gas,automatic,fwd,sedan,full-size,5
437,ford,bronco ii,gas,manual,4wd,SUV,full-size,6
438,gmc,1988,gas,manual,4wd,pickup,full-size,6
439,chevrolet,silverado 2500 hd ltz,diesel,automatic,4wd,truck,full-size,8
440,kia,sorento lx,gas,automatic,fwd,SUV,compact,4
441,ford,f150 regular cab xl,gas,automatic,rwd,pickup,full-size,6
445,toyota,fj cruiser 4x4,gas,automatic,4wd,SUV,mid-size,6
446,mercedes-benz,benz ml 450,gas,automatic,4wd,SUV,full-size,6
447,gmc,1500 yukon slt,gas,automatic,rwd,SUV,full-size,8
451,gmc,plymouth voyager,gas,automatic,rwd,pickup,full-size,6
458,pontiac,grand am gt 1,gas,manual,fwd,pickup,compact,6
465,gmc,denali,gas,automatic,4wd,pickup,full-size,8
478,toyota,corolla le,gas,automatic,fwd,sedan,full-size,4
479,gmc,sierra 1500,gas,automatic,4wd,truck,full-size,8
482,gmc,sierra 2500hd denali,diesel,automatic,4wd,truck,full-size,8
484,ford,f-250 super duty xl,diesel,automatic,rwd,pickup,full-size,8
485,bmw,328i,gas,automatic,rwd,sedan,full-size,6
486,bmw,x5,gas,automatic,4wd,SUV,full-size,6
487,honda,crv ex-l,gas,automatic,fwd,SUV,full-size,4
490,honda,cr v,gas,automatic,fwd,SUV,full-size,4
491,honda,cr-v ex-l,gas,automatic,4wd,SUV,compact,4
494,gmc,smart fortwo,gas,automatic,rwd,coupe,compact,3
495,infiniti,qx4,gas,automatic,4wd,SUV,full-size,6
496,lexus,ct200h hybrid,gas,automatic,fwd,pickup,full-size,4
505,mazda,mx-5 miata grand touring,gas,other,rwd,other,full-size,8
511,jeep,grand cherokee laredo sport,other,other,4wd,SUV,full-size,6
526,chevrolet,tahoe lt sport utility,other,other,rwd,other,full-size,8
527,ford,e350 van,diesel,automatic,fwd,van,full-size,8
530,honda,civic del sol si,gas,manual,fwd,convertible,compact,4
534,toyota,highlander,gas,automatic,fwd,SUV,full-size,4
535,ram,3500 big horn,diesel,automatic,4wd,truck,full-size,6
540,hyundai,accent,gas,automatic,fwd,hatchback,mid-size,4
542,ford,escape hev,hybrid,automatic,fwd,SUV,mid-size,4
543,honda,accord crosstour exl,gas,automatic,fwd,wagon,full-size,6
547,ford,f250 lariat,diesel,automatic,rwd,truck,full-size,8
562,ram,2500 4x4,diesel,automatic,4wd,truck,full-size,6
564,bmw,z4,gas,automatic,rwd,other,sub-compact,4
565,dodge,challenger rt plus,gas,automatic,rwd,coupe,mid-size,8
566,gmc,sierra 2500 hd double cab,gas,other,4wd,pickup,full-size,8
573,ram,1500 express,diesel,automatic,rwd,pickup,full-size,8
576,acura,tl,gas,automatic,fwd,sedan,mid-size,6
585,chevrolet,silverado 3500hd,diesel,automatic,4wd,truck,full-size,8
587,acura,rl,gas,automatic,rwd,sedan,full-size,6
589,honda,civic ex,gas,automatic,rwd,pickup,full-size,4
590,chevrolet,silverado,gas,automatic,rwd,truck,full-size,6
591,gmc,2002 limited 4 runner,gas,automatic,rwd,pickup,full-size,6
593,hyundai,sonata,gas,automatic,fwd,sedan,mid-size,4
594,kia,optima,gas,automatic,fwd,sedan,full-size,4
595,cadillac,escalade,gas,automatic,rwd,SUV,full-size,8
598,rover,lr4 hse,gas,automatic,4wd,SUV,full-size,8
599,chevrolet,colorado,gas,automatic,rwd,truck,full-size,4
600,lexus,sc430,gas,automatic,rwd,convertible,full-size,8
602,lincoln,town car,gas,other,rwd,sedan,full-size,8
605,honda,element ex,gas,automatic,fwd,SUV,full-size,4
606,nissan,pathfinder,gas,automatic,rwd,SUV,full-size,6
611,jeep,cherokee sport,gas,automatic,rwd,SUV,full-size,6
612,mazda,cx-5,gas,automatic,rwd,pickup,full-size,4
614,ram,2500 mega cab 4x4,diesel,automatic,4wd,truck,full-size,6
615,ram,2500 slt 4x4,diesel,automatic,4wd,truck,full-size,6
616,ford,edge sel,gas,automatic,fwd,SUV,mid-size,6
617,audi,a3 tdi premium plus,diesel,automatic,fwd,sedan,mid-size,4
618,chevrolet,silverado 3500 ltz 4x4,diesel,automatic,4wd,truck,full-size,8
619,ford,f150 lariat fx4 4x4,gas,automatic,4wd,truck,full-size,8
620,chevrolet,silverado 2500 hd 4x4,diesel,automatic,4wd,truck,full-size,8
621,ram,3500 slt,diesel,automatic,rwd,truck,full-size,6
623,ford,f150 4x4 xlt,gas,automatic,4wd,truck,full-size,8
625,ram,1500laramie 4x4,gas,automatic,4wd,truck,full-size,8
626,honda,accord coupe,gas,automatic,fwd,coupe,full-size,4
627,gmc,yukon xl,gas,automatic,4wd,SUV,full-size,8
628,gmc,2002   Corvette Convertible,gas,automatic,rwd,convertible,full-size,8
633,chevrolet,silverado z71 4x4,gas,automatic,rwd,truck,full-size,8
634,chevrolet,silverado z71 4x4 lt,gas,automatic,4wd,truck,full-size,8
635,toyota,4runner sr5premium 4x4,gas,automatic,4wd,SUV,mid-size,6
636,gmc,sierra 1500 double cab sle,gas,other,4wd,pickup,full-size,8
644,lincoln,town car,gas,automatic,rwd,sedan,full-size,8
661,chevrolet,hhr lt,gas,automatic,rwd,pickup,full-size,4
663,ford,f150 supercrew cab xlt,other,automatic,4wd,pickup,full-size,6
666,audi,a4 ultra premium sedan 4d,other,other,fwd,sedan,full-size,8
667,chevrolet,ss sedan,gas,automatic,rwd,sedan,full-size,8
